[INTERNAL_LOG][2018-06-07 21:22:17,560][INFO][find_string()] No iframe in assets/html-uk/index.html
[INTERNAL_LOG][2018-06-07 21:22:17,581][INFO][find_string()] File: assets/html-uk/license.html
[INTERNAL_LOG][2018-06-07 21:22:17,843][INFO][find_string()] No iframe in assets/html-uk/license.html
[INTERNAL_LOG][2018-06-07 21:22:17,864][INFO][find_string()] File: assets/html-uk/scanning.html
[INTERNAL_LOG][2018-06-07 21:22:18,126][INFO][find_string()] No iframe in assets/html-uk/scanning.html
[INTERNAL_LOG][2018-06-07 21:22:18,146][INFO][find_string()] File: assets/html-uk/sharing.html
[INTERNAL_LOG][2018-06-07 21:22:18,315][INFO][find_string()] No iframe in assets/html-uk/sharing.html
[INTERNAL_LOG][2018-06-07 21:22:18,335][INFO][find_string()] File: assets/html-uk/whatsnew.html
[INTERNAL_LOG][2018-06-07 21:22:18,480][INFO][find_string()] No iframe in assets/html-uk/whatsnew.html
[INTERNAL_LOG][2018-06-07 21:22:18,500][INFO][find_string()] File: assets/html-zh-rCN/about1d.html
[INTERNAL_LOG][2018-06-07 21:22:18,675][INFO][find_string()] No iframe in assets/html-zh-rCN/about1d.html
[INTERNAL_LOG][2018-06-07 21:22:18,696][INFO][find_string()] File: assets/html-zh-rCN/about2d.html
[INTERNAL_LOG][2018-06-07 21:22:18,982][INFO][find_string()] No iframe in assets/html-zh-rCN/about2d.html
[INTERNAL_LOG][2018-06-07 21:22:19,002][INFO][find_string()] File: assets/html-zh-rCN/index.html
[INTERNAL_LOG][2018-06-07 21:22:19,284][INFO][find_string()] No iframe in assets/html-zh-rCN/index.html
[INTERNAL_LOG][2018-06-07 21:22:19,305][INFO][find_string()] File: assets/html-zh-rCN/license.html
[INTERNAL_LOG][2018-06-07 21:22:19,591][INFO][find_string()] No iframe in assets/html-zh-rCN/license.html
[INTERNAL_LOG][2018-06-07 21:22:19,611][INFO][find_string()] File: assets/html-zh-rCN/scanning.html
[INTERNAL_LOG][2018-06-07 21:22:19,851][INFO][find_string()] No iframe in assets/html-zh-rCN/scanning.html
[INTERNAL_LOG][2018-06-07 21:22:19,872][INFO][find_string()] File: assets/html-zh-rCN/sharing.html
[INTERNAL_LOG][2018-06-07 21:22:20,051][INFO][find_string()] No iframe in assets/html-zh-rCN/sharing.html
[INTERNAL_LOG][2018-06-07 21:22:20,071][INFO][find_string()] File: assets/html-zh-rCN/whatsnew.html
[INTERNAL_LOG][2018-06-07 21:22:20,215][INFO][find_string()] No iframe in assets/html-zh-rCN/whatsnew.html
